NPDES # CA#,ORDER #,WDID,FACILITY NAME,population_cwns,population_cwns_2042,population_sso,epaid,population_covid,source,Population Served,population_growth_rate
CA0037826,R2-2022-0037,2 071039001,Rodeo Sanitary District WWTP,,,,,,No data,,
CA0038598,R2-2023-0002,2 417068001,SAM WWTP (Sewer Authority Mid-Coastside Wastewater Treatment Plant),8111,8111,,CA0038598,28000,CWNS+COVID,8111,0
CA0037681,R2-2019-0028,2 386009001,SF - OCEANSIDE Water Pollution Control Plant,,,,CA0037681,250000,COVID,250000,
CA0038318,R2-2018-0045,2 417032001,SF Airport Mel Leong TP-Sanitary Waste,225000,264541,,,,CWNS,225000,0.81
CA0037664,R2-2013-0029,2 386010001,"SF-SE Water Pollution Control Plant, N-Point & Bayside",1,1,,CA0037664,750000,CWNS+COVID,1,0
CA0038369,R2-2023-0003,2 417037001,SVCW WWTP,582120,684419,,CA0038369,199000,CWNS+COVID,582120,0.81
CA0037842,R2-2020-0001,2 438014001,San Jose/Santa Clara WPCP,0,0,,CA0037842,1500000,CWNS+COVID,0,
,R2-2022-0023,2 019037001,San Leandro WPCP,585360,687659,,,,CWNS,585360,0.81
CA0038881,R2-2022-0006,2 01NPI441309,"San Leandro, City of",,,,,,No data,,
CA0037541,R2-2023-0017,2 417035001,San Mateo WWTP,251100,258300,,CA0037541,150000,CWNS+COVID,251100,0.14
CA0038067,R2-2018-0025,2 215023001,Sausalito Marin City STP,132161,141528,,CA0038067,18000,CWNS+COVID,132161,0.34
CA0037711,R2-2018-0039,2 215015001,Sewerage Agency of Southern Marin (SASM) WWTP,20,20,9500,,,CWNS+SSO,20,0
CA0037800,R2-2019-0019,2 494009001,Sonoma Valley County SD WWTP,913086,1300500,,,,CWNS,913086,1.78
CA0038130,R2-2019-0021,2 417038001,South San Francisco-San Bruno WQCP,1389338,1807956,,,,CWNS,1389338,1.33
CA0038016,R2-2021-0004,2 283014001,St. Helena City WWTP,,,,,,No data,,
CA0037621,R2-2020-0002,2 438018001,Sunnyvale WPCP,49500,55800,,CA0037621,153000,CWNS+COVID,49500,0.6
CA0037699,R2-2023-0001,2 482012001,Vallejo Flood & Wastewater District (VFWD) Wastewater Treatment Plant,155584,167466,,CA0037699,121000,CWNS+COVID,155584,0.37
CA0038873,R2-2019-0017,2 071040001,West County WW District WPCP,,,,,,No data,,
CA0038121,R2-2020-0026,2 283019001,Yountville / CA Vets Home WWTP,30981,32183,,,,CWNS,30981,0.19
CA0047830,R3-2017-0025,3 400101001,Avila WWTP,26100,26100,250,,,CWNS+SSO,26100,0
CA0047856,R3-2020-0005,3 400108001,California Men's Colony WWTP,30188,26284,,,,CWNS,30188,-0.69
CA0047996,R3-2014-0012,3 270101001,Carmel Area WWTP,100313,106257,,CA0047996,16000,CWNS+COVID,100313,0.29
CA0047364,R3-2017-0032,3 420101001,Carpinteria SD WWTP,4847,4204,,,,CWNS,4847,-0.71
CA3000001,R3-2020-0004,3 401019759,Cayucos SD WWTP,138290,173433,,,,CWNS,138290,1.14
CA3000002,R3-2022-0029,3 400322963,City of Morro Bay Water Reclamation Facility,110442,110442,,,,CWNS,110442,0
CA0048143,R3-2019-0046,3 420108001,El Estero Water Resource Center NPDES,,,,CA0048143,77600,COVID,77600,
CA0048160,R3-2017-0021,3 420102001,Goleta SD WWTP,2970,3725,40000,CA0048160,97000,CWNS+SSO+COVID,2970,1.14
CA0048941,R3-2017-0026,3 401013001,Heritage Ranch WWTP,720,720,,,,CWNS,720,0
CA0048127,R3-2022-0004,3 420105001,Lompoc City Regional Wastewater Reclamation Plant,,,59191,CA0048127,69290,SSO+COVID,59191,
CA0047899,R3-2022-0010,3 420107001,Montecito SD WWTP,19917,20147,,,,CWNS,19917,0.06
CA0048551,R3-2018-0017,3 270118002,Monterey One Water Regional WWTP,15241,15241,318419,,,CWNS+SSO,15241,0
CA0047953,R3-2021-0001,3 400105001,Paso Robles WWTP,,,,CA0047953,31037,COVID,31037,
CA0048151,R3-2015-0016,3 400106001,Pismo Beach WWTP,,,,,,No data,,
CA0049964,R3-2017-0028,3 430100001,SCRWA WWTP,86400,87300,46451,CA0049964,110338,CWNS+SSO+COVID,86400,0.05
CA0047902,R3-2009-0019,3 350102001,San Juan Bautista WWTP,74129,91524,,,,CWNS,74129,1.06
CA0049224,R3-2014-0033,3 400107001,San Luis Obispo WWTP,3413,2970,,CA0049224,47545,CWNS+COVID,3413,-0.69
CA0047961,R3-2022-0003,3 400110001,San Simeon WWTP,,,,,,No data,,
CA0048194,R3-2017-0030,3 440102001,Santa Cruz WWTP,9050,9050,,CA0048194,160000,CWNS+COVID,9050,0
CA0048828,R3-2013-0001,3 440103001,Scotts Valley WWTP,409354,427421,,CA0048828,12000,CWNS+COVID,409354,0.22
CA0048003,R3-2019-0002,3 400111001,South San Luis Obispo SD WWTP,34557,38383,,CA0048003,39000,CWNS+COVID,34557,0.53
CA0048054,R3-2022-0014,3 420111001,Summerland SD WWTP,,,,,,No data,,
CA0048216,R3-2014-0006,3 440104001,Watsonville WWTP,49500,70200,,CA0048216,60000,CWNS+COVID,49500,1.76
CA0053813,R4-2023-0181,4B190107013,A.K. Warren Water Resource Facility,95848,131813,,CA0053813,3500000,CWNS+COVID,95848,1.61
CA0054372,R4-2019-0023,4B190100001,Avalon WWTF,40500,55800,,,,CWNS,40500,1.62
CA0055531,R4-2023-0358,4B190101001,Burbank WRP,1715,1715,107000,,,CWNS+SSO,1715,0
CA0053597,R4-2019-0136,4A560100001,Camarillo WRP,40960,44100,,,,CWNS,40960,0.37
