REGION,WDID,FACILITY NAME,FACILITY ID,pop_final,pop_final_source,pop_final_rwb_preferred,pop_final_rwb_preferred_source
4,4SSO10449,Thousand Oaks Municipal Service Center,631788,130000,pop_served_via_rwb,130000,pop_served_via_rwb
4,4SSO10445,US Department of Veteran Affairs CS,631784,5000,pop_served_via_rwb,5000,pop_served_via_rwb
4,4SSO10442,West Covina CS,631781,111400,pop_served_via_rwb,111400,pop_served_via_rwb
4,4SSO11368,West Hollywood CS,643371,37805,pop_served_via_rwb,37805,pop_served_via_rwb
5,5SSO10865,Angels Camp CS,631422,4178,pop_served_via_rwb,4178,pop_served_via_rwb
5,5SSO10869,Auburn Lk Trls Onsite WW Disp CS,631428,338,pop_served_via_rwb,338,pop_served_via_rwb
5,5SSO10789,Biggs CS,631714,1800,pop_served_via_rwb,1800,pop_served_via_rwb
5,5SSO10791,Burney CS,631720,3763,pop_served_via_rwb,3763,pop_served_via_rwb
5,5SSO10719,"California State University, Bakersfield CS",631431,1600,pop_served_via_rwb,1600,pop_served_via_rwb
5,5SSO11280,Chowchilla City CS,645091,11759,pop_served_via_rwb,11759,pop_served_via_rwb
5,5SSO10893,City Of Folsom CS,631501,81610,pop_served_via_rwb,81610,pop_served_via_rwb
5,5SSO10894,City Of Ione CS,631504,3999,pop_served_via_rwb,3999,pop_served_via_rwb
5,5SSO10895,City Of Jackson CS,631507,4700,pop_served_via_rwb,4700,pop_served_via_rwb
5,5SSO11433,City of Stockton MUD CS,645236,311178,pop_served_via_rwb,311178,pop_served_via_rwb
5,5SSO11190,Corcoran State Prison CS,631109,3828,pop_served_via_rwb,3828,pop_served_via_rwb
5,5SSO10731,Cutler P.U.D. CS,631494,6200,pop_served_via_rwb,6200,pop_served_via_rwb
5,5SSO11223,Delano CS,710360,53000,pop_served_via_rwb,53000,pop_served_via_rwb
5,5SSO10935,Dry Creek CS,630698,151901,pop_served_via_rwb,151901,pop_served_via_rwb
5,5SSO10812,Dunsmuir CS,631245,2700,pop_served_via_rwb,2700,pop_served_via_rwb
5,5SSO11226,Exeter CS,655404,11169,pop_served_via_rwb,11169,pop_served_via_rwb
5,5SSO11227,Farmersville WWTP CS,651039,10971,pop_served_via_rwb,10971,pop_served_via_rwb
5,5SSO11285,Firebaugh CS,657801,8328,pop_served_via_rwb,8328,pop_served_via_rwb
5,5SSO11295,Fresno Co 31B-Shaver Lake CS,706799,1715,pop_served_via_rwb,1715,pop_served_via_rwb
5,5SSO11228,Goshen CS,645277,3006,pop_served_via_rwb,3006,pop_served_via_rwb
5,5SSO10820,Gridley CS,631262,6700,pop_served_via_rwb,6700,pop_served_via_rwb
5,5SSO10965,Hangtown Creek CS,630751,10681,pop_served_via_rwb,10681,pop_served_via_rwb
5,5SSO11302,Huron City CS,726589,7281,pop_served_via_rwb,7281,pop_served_via_rwb
5,5SSO10971,Isleton CS,630765,945,pop_served_via_rwb,945,pop_served_via_rwb
5,5SSO11234,Kettleman City WWTF CS,645127,1500,pop_served_via_rwb,1500,pop_served_via_rwb
5,5SSO10976,Knights Landing CS,630780,1300,pop_served_via_rwb,1300,pop_served_via_rwb
5,5SSO10984,Lake Wildwood CS,630809,7080,pop_served_via_rwb,7080,pop_served_via_rwb
5,5SSO11306,Laton CSD CS,645096,1850,pop_served_via_rwb,1850,pop_served_via_rwb
5,5SSO11235,Lemon Cove CS,716154,109,pop_served_via_rwb,109,pop_served_via_rwb
5,5SSO11311,MD-22A Oakhurst CS,704518,2686,pop_served_via_rwb,2686,pop_served_via_rwb
5,5SSO11002,Mokelumne Hill CS,630825,800,pop_served_via_rwb,800,pop_served_via_rwb
5,5SSO11005,Mule Creek State Prison CS,630842,5000,pop_served_via_rwb,5000,pop_served_via_rwb
5,5SSO11022,Penn Valley CS,630936,680,pop_served_via_rwb,680,pop_served_via_rwb
5,5SSO11428,Pinedale Public Utility District CS,645141,6900,pop_served_via_rwb,6900,pop_served_via_rwb
5,5SSO10845,Red Bluff CS,631310,14076,pop_served_via_rwb,14076,pop_served_via_rwb
5,5SSO10801,Redding City CS,631120,95542,pop_served_via_rwb,95542,pop_served_via_rwb
5,5SSO10912,Sacramento Area Sewer District CS,630675,1170000,pop_served_via_rwb,1170000,pop_served_via_rwb
5,5SSO11342,Sanger CS,656284,25664,pop_served_via_rwb,25664,pop_served_via_rwb
5,5SSO11028,SMD No. 1 CS,630958,13207,pop_served_via_rwb,13207,pop_served_via_rwb
5,5SSO11055,Southeast Regional Waste Disp Fac CS,631027,13176,pop_served_via_rwb,13176,pop_served_via_rwb
5,5SSO11061,Sutter Creek CS,631043,2501,pop_served_via_rwb,2501,pop_served_via_rwb
5,5SSO11068,Tuolumne CS,631052,1577,pop_served_via_rwb,1577,pop_served_via_rwb
5,5SSO10778,Wawona CS,631689,300,pop_served_via_rwb,300,pop_served_via_rwb
5,5SSO10803,Willows CS,631122,5937,pop_served_via_rwb,5937,pop_served_via_rwb
6,6SSO11128,Big Pine Indian Res CS,630806,NA,NA,NA,NA
6,6SSO11150,Inyokern Csd CS,630876,979,pop_served_via_rwb,979,pop_served_via_rwb
6,6SSO11109,Markleeville Wstwtr Trtmnt Sys CS,630744,69,pop_served_via_rwb,69,pop_served_via_rwb
6,6SSO11110,North Tahoe Public Utility Dst CS,630747,10000,pop_served_via_rwb,10000,pop_served_via_rwb
6,6SSO11538,Step/Stag System w/Evap Ponds CS,733023,2000,pop_served_via_rwb,2000,pop_served_via_rwb
6,6SSO11120,Truckee Sanitary District CS,630785,17131,pop_served_via_rwb,17131,pop_served_via_rwb
7,7SSO10515,Calexico CS,631178,40000,pop_served_via_rwb,40000,pop_served_via_rwb
7,7SSO11189,Chuckawalla Valley State Prison CS,631108,2600,pop_served_via_rwb,2600,pop_served_via_rwb
8,8SSO10543,Beaumont City CS,631243,55349,pop_served_via_rwb,55349,pop_served_via_rwb
8,8SSO10566,Costa Mesa SD CS,256421,118300,pop_served_via_rwb,118300,pop_served_via_rwb
8,8SSO10569,East Valley Water District CS,631527,104000,pop_served_via_rwb,104000,pop_served_via_rwb
8,8SSO10617,Eastern Municipal Water District CS,256449,567615,pop_served_via_rwb,567615,pop_served_via_rwb
8,8SSO11381,Herman G. Stark Youth Correctional Facility CS,643379,9,pop_served_via_rwb,9,pop_served_via_rwb
8,8SSO10560,Riverside City CS,631503,327728,pop_served_via_rwb,327728,pop_served_via_rwb
9,9SSO10647,City of Coronado CS,631933,20627,pop_served_via_rwb,20627,pop_served_via_rwb
9,9SSO10653,City of Laguna Beach CS,631920,18000,pop_served_via_rwb,18000,pop_served_via_rwb
9,9SSO10655,City of National City CS,631917,58967,pop_served_via_rwb,58967,pop_served_via_rwb
9,9 000000762,County Of San Diego CS - multiple facilities,256442,NA,NA,NA,NA
9,9SSO10678,Moulton Niguel Water District CS,631585,170236,pop_served_via_rwb,170236,pop_served_via_rwb
9,9SSO10658,San Diego City CS (Wastewater Collection System),631631,2380000,pop_served_via_rwb,2380000,pop_served_via_rwb
9,9SSO10707,Trabuco Canyon Water District CS,631386,12921,pop_served_via_rwb,12921,pop_served_via_rwb
9,9SSO10710,"USMC Base, Camp Pendleton CS",256444,NA,NA,NA,NA
9,9SSO10710,"USMC Base, Camp Pendleton CS",631390,NA,NA,NA,NA
3,3SSO10250,Guadalupe City CS,631090,NA,NA,NA,NA
5,5SSO10786,Beckwourth CS,631704,100,pop_served_via_rwb,100,pop_served_via_rwb
5,5SSO10797,Chester CS,631740,2500,pop_served_via_rwb,2500,pop_served_via_rwb
5,5SSO11219,City of Avenal CS,706791,14885,pop_served_via_rwb,14885,pop_served_via_rwb
5,5SSO10971,Isleton CS,630765,945,pop_served_via_rwb,945,pop_served_via_rwb
5,5SSO20058,East Orosi CSD CS,855903,NA,NA,NA,NA
5,5SSO11007,Murphys CS,630868,2213,pop_served_via_rwb,2213,pop_served_via_rwb
5,5SSO10753,Planada CSD CS,631573,4500,pop_served_via_rwb,4500,pop_served_via_rwb
5,5SSO10843,Portola CS,631307,2104,pop_served_via_rwb,2104,pop_served_via_rwb
5,5SSO11224,The City of Dinuba CS,645139,26731,pop_served_via_rwb,26731,pop_served_via_rwb
5,5SSO10827,Lake Oroville Area PUD CS,631283,12000,pop_served_via_rwb,12000,pop_served_via_rwb
5,5SSO11283,Delhi CWD CS,658077,8000,pop_served_via_rwb,8000,pop_served_via_rwb
6,6SSO11108,Leavitt Lake Sew Trt Ponds CS,630741,950,pop_served_via_rwb,950,pop_served_via_rwb
7,7SSO20054,Niland CS,631214,NA,NA,NA,NA
7,7SSO10538,Salton City Oxid Basin CS,631227,4745,pop_served_via_rwb,4745,pop_served_via_rwb
8,8SSO10580,Inland Empire Utilities Agency CS,631557,863000,pop_served_via_rwb,863000,pop_served_via_rwb
8,8SSO10594,Rialto City CS,631572,104062,pop_served_via_rwb,104062,pop_served_via_rwb
8,8SSO10591,Orange City CS,256413,137300,pop_served_via_rwb,137300,pop_served_via_rwb
8,8SSO10587,Irvine Ranch Water Distric CS,256417,314792,pop_served_via_rwb,314792,pop_served_via_rwb
8,8SSO10641,Yorba Linda Water District CS,256418,75000,pop_served_via_rwb,75000,pop_served_via_rwb
8,8SSO10561,San Bernardino City CS,631508,207500,pop_served_via_rwb,207500,pop_served_via_rwb
8,8SSO10614,San Bernardino Cnty Special Districts,631620,1466,pop_served_via_rwb,1466,pop_served_via_rwb
8,8SSO11477,Fontana City CS,646700,219573,pop_served_via_rwb,219573,pop_served_via_rwb
8,8SSO10582,Jurupa Community Service Dist.,631562,140147,pop_served_via_rwb,140147,pop_served_via_rwb
8,8SSO10643,Yucaipa Valley Water District CS,631943,49000,pop_served_via_rwb,49000,pop_served_via_rwb
8,8SSO10620,Elsinore Valley Municipal Water District,631633,133189,pop_served_via_rwb,133189,pop_served_via_rwb
8,8SSO10585,Lake Hemet MWD CS,631564,50250,pop_served_via_rwb,50250,pop_served_via_rwb
