REGION,FACILITY ID,FACILITY NAME,pop_final,pop_final_source,pop_final_rwb_preferred,pop_final_rwb_preferred_source
5,273164,Buttonwillow WWTF,1043,pop_cwns,1043,pop_cwns
5,244250,City of Newman WWTF,104,pop_cwns,104,pop_cwns
5,214671,City of Wheatland WWTP,104,pop_cwns,104,pop_cwns
5,214812,Clearlake Oaks WWTP,104,pop_cwns,104,pop_cwns
5,273110,Dinuba WWTF,104,pop_cwns,104,pop_cwns
5,222916,Escalon Treatment Plant,NA,NA,NA,NA
5,227485,Golden Feather MHP WTP,NA,NA,NA,NA
5,229544,Hamilton City CSD WWTP,181,pop_cwns,181,pop_cwns
5,232085,I'SOT School Ponds,NA,NA,NA,NA
5,233460,Jamestown Sanitary District Wastewater Treatment Facilities,1043,pop_cwns,1043,pop_cwns
5,235144,Knights Landing CSD WWTP,1043,pop_cwns,1043,pop_cwns
5,273151,New Auberry WWTF,NA,NA,NA,NA
5,256543,Shady Glen Mobile Home Park,NA,NA,NA,NA
6,208572,Baker WTF,NA,NA,NA,NA
6,224678,Floriston Waste Treatment Facility,NA,NA,NA,NA
6,638757,Spalding Tract Sewer System,1043,pop_cwns,1043,pop_cwns
6,272945,Woodfords Indian Colony WTDF,1043,pop_cwns,1043,pop_cwns
6,210365,Bridgeport PUD Treatment Plant,NA,NA,NA,NA
7,219671,SCSD Desert Shores WWTP,104,pop_cwns,104,pop_cwns
7,647900,SCSD Thomas R. Cannell WWTP,1043,pop_cwns,1043,pop_cwns
7,631113,Ironwood State Prison CS,3045,pop_served_via_rwb,3045,pop_served_via_rwb
7,255119,Salton City Lansing Avenue WWTF,NA,NA,NA,NA
9,245585,Oak Tree Ranch Private Residential Community OWTS,104,pop_cwns,104,pop_cwns
9,271721,Warner Springs Mobile Estates,1043,pop_cwns,1043,pop_cwns
