FACILITY ID,FACILITY NAME,REGION,PROGRAM CATEGORY,ASSIGNED CATEGORY,COMMUNITY TYPE,FEDERAL FACILITY,NPDES ASSESSMENT,WDR ASSESSMENT,CS ASSESSMENT,wdid,npdes_permit_number,order_number,pop_cwns,pop_cwns_2042,pop_sso_csv,pop_covid,pop_served_csv,pop_source_csv,pop_growth_rate,wdid_sso,pop_served_via_rwb,pop_final,pop_final_source,pop_final_rwb_preferred,pop_final_rwb_preferred_source
630382,Sebastopol City CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10017,7448,7448,pop_served_via_rwb,7448,pop_served_via_rwb
630481,Shelter Cove CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10068,647,647,pop_served_via_rwb,647,pop_served_via_rwb
630483,South Park CSD CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10070,38462,38462,pop_served_via_rwb,38462,pop_served_via_rwb
648006,U.S. Coast Guard TRACEN CS,1,SSO,Federal: Collection System,COMMUNITY,TRUE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO11490,1650,1650,pop_served_via_rwb,1650,pop_served_via_rwb
630748,Ukiah City CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10074,16500,16500,pop_served_via_rwb,16500,pop_served_via_rwb
644967,Ukiah Valley Sanitation District CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO11454,5000,5000,pop_served_via_rwb,5000,pop_served_via_rwb
630766,Weaverville SD CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10078,3000,3000,pop_served_via_rwb,3000,pop_served_via_rwb
630768,Weed Shastina CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10079,2932,2932,pop_served_via_rwb,2932,pop_served_via_rwb
630798,Westport CWD CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10081,50,50,pop_served_via_rwb,50,pop_served_via_rwb
630831,Willits City CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10018,5000,5000,pop_served_via_rwb,5000,pop_served_via_rwb
